Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
0,5,56,18,3,11,4,0,2.2,0,0,5,22,20,25,1600
0,9,312,1,3,12,6,0,3.0,0,0,5,20,17,26,1950
0,9,316,3,3,12,6,0,3.0,0,0,5,20,17,25,1850
0,9,220,14,5,12,6,0,3.0,0,0,5,17,15,20,2350
0,9,220,14,5,18,6,0,3.0,0,0,5,18,16,21,2050
0,17,34,14,5,12,6,0,3.0,0,0,5,17,15,20,1950
0,17,34,14,5,18,6,0,3.0,0,0,5,18,16,21,2350
0,17,35,15,1,12,6,0,3.0,0,0,5,15,14,18,2050
0,17,35,15,1,18,6,0,3.0,0,0,5,17,15,20,1750
0,9,112,12,5,13,6,0,4.0,0,0,5,15,14,17,1750
0,9,221,15,1,12,6,0,3.0,0,0,5,15,14,18,2050
0,9,221,15,1,18,6,0,3.0,0,0,5,17,15,20,1950
0,23,350,4,3,12,6,0,3.3,0,0,5,19,16,23,2350
0,7,54,4,3,12,6,0,3.3,0,0,5,19,16,23,2050
0,6,330,4,3,12,6,0,3.3,0,0,5,18,16,22,1850
0,5,56,18,3,12,4,0,2.2,0,0,5,23,20,28,1500
0,9,317,3,3,12,6,0,3.0,0,0,5,19,16,24,1850
0,5,226,5,5,12,4,0,2.2,0,0,5,19,17,23,1600
0,5,226,5,5,18,4,0,2.2,0,0,5,22,19,25,1950
0,10,292,5,5,12,4,0,2.2,0,0,5,19,17,23,1950
0,10,292,5,5,18,4,0,2.2,0,0,5,22,19,25,2050
0,12,179,5,5,12,4,0,2.2,0,0,5,19,17,23,2350
0,12,179,5,5,18,4,0,2.2,0,0,5,22,19,25,2050
0,9,121,13,1,13,6,0,4.0,0,0,5,15,13,17,2350
0,9,148,14,5,12,8,0,5.4,0,0,5,11,10,14,3200
0,9,150,15,1,12,8,0,5.4,0,0,5,11,10,14,2900
0,9,149,14,5,12,8,0,5.4,0,0,5,12,11,15,3200
0,9,151,15,1,12,8,0,5.4,0,0,5,12,11,15,2900
0,9,314,1,3,12,6,0,3.0,0,0,5,19,16,25,2050
0,20,231,2,3,12,6,0,3.0,0,0,5,19,16,25,1850
1,20,233,3,3,12,6,0,3.0,0,0,5,19,16,24,1850
