Year,Make,Model,Class,Drive,Transmission,Engine Cylinders,Engine Index,Engine Displacement,Turbocharger,Supercharger,Fuel Type,Combined MPG,City MPG,Highway MPG,Annual Fuel Cost
2000,Chevrolet,Cavalier (Bi-fuel CNG),Subcompact Cars,Front-Wheel Drive,Automatic 3-Speed,4,0,2.2,No,No,Regular Gasoline,22,20,25,1600
2000,Ford,Taurus,Large Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,20,17,26,1950
2000,Ford,Taurus Wagon,Midsize Station Wagons,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,20,17,25,1850
2000,Ford,Ranger 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,2350
2000,Ford,Ranger 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,6,0,3,No,No,Regular Gasoline,18,16,21,2050
2000,Mazda,B3000 FFV 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,1950
2000,Mazda,B3000 FFV 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,6,0,3,No,No,Regular Gasoline,18,16,21,2350
2000,Mazda,B3000 FFV 4WD,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,15,14,18,2050
2000,Mazda,B3000 FFV 4WD,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Manual 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,1750
2000,Ford,Explorer 2WD,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,15,14,17,1750
2000,Ford,Ranger 4WD FFV,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,15,14,18,2050
2000,Ford,Ranger 4WD FFV,Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Manual 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,1950
2000,Plymouth,Voyager/Grand Voyager 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,19,16,23,2350
2000,Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,19,16,23,2050
2000,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,1850
2000,Chevrolet,Cavalier (Bi-fuel CNG),Subcompact Cars,Front-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,23,20,28,1500
2000,Ford,Taurus Wagon FFV,Midsize Station Wagons,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,16,24,1850
2000,Chevrolet,S10 Pickup 2WD FFV,Small Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,19,17,23,1600
2000,Chevrolet,S10 Pickup 2WD FFV,Small Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,4,0,2.2,No,No,Regular Gasoline,22,19,25,1950
2000,GMC,Sonoma 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,19,17,23,1950
2000,GMC,Sonoma 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,4,0,2.2,No,No,Regular Gasoline,22,19,25,2050
2000,Isuzu,Hombre Pickup 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,19,17,23,2350
2000,Isuzu,Hombre Pickup 2WD (FFV),Small Pickup Trucks 2WD,Rear-Wheel Drive,Manual 5-Speed,4,0,2.2,No,No,Regular Gasoline,22,19,25,2050
2000,Ford,Explorer USPS 4WD FFV,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,15,13,17,2350
2000,Ford,F150 Dual-fuel 2WD (CNG),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,11,10,14,3200
2000,Ford,F150 Dual-fuel 4WD (CNG),Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,11,10,14,2900
2000,Ford,F150 Dual-fuel 2WD (LPG),Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,12,11,15,3200
2000,Ford,F150 Dual-fuel 4WD (LPG),Standard Pickup Trucks 4WD,4-Wheel or All-Wheel Drive,Automatic 4-Speed,8,0,5.4,No,No,Regular Gasoline,12,11,15,2900
2000,Ford,Taurus FFV,Large Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,16,25,2050
2000,Mercury,Sable (FFV),Midsize Cars,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,16,25,1850
2001,Mercury,Sable Wagon (FFV),Midsize Station Wagons,Front-Wheel Drive,Automatic 4-Speed,6,0,3,No,No,Regular Gasoline,19,16,24,1850
2001,Ford,Explorer USPS 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,17,15,20,1850
2001,Ford,Explorer Sport 2WD FFV,Sport Utility Vehicle - 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,17,15,20,1600
2001,Ford,Explorer Sport 4WD FFV,Sport Utility Vehicle - 4WD,4-Wheel or All-Wheel Drive,Automatic 5-Speed,6,0,4,No,No,Regular Gasoline,15,13,17,1850
2001,Mazda,B3000 (FFV) Ethanol 2WD,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,1600
2001,Ford,Ranger 2WD FFV,Standard Pickup Trucks 2WD,Rear-Wheel Drive,Automatic 5-Speed,6,0,3,No,No,Regular Gasoline,17,15,20,2050
2001,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,1850
2001,Dodge,Caravan/Grand Caravan 2WD,Minivan - 2WD,Front-Wheel Drive,Automatic 4-Speed,6,0,3.3,No,No,Regular Gasoline,18,16,22,1850
2001,Chevrolet,Cavalier Dual-fuel,Subcompact Cars,Front-Wheel Drive,Automatic 4-Speed,4,0,2.2,No,No,Regular Gasoline,23,20,28,1500
